TS,Value
2013-06-06 01:00:00,221
2013-06-06 02:00:00,97
2013-06-06 03:00:00,65
2013-06-06 04:00:00,43
2013-06-06 05:00:00,64
2013-06-06 06:00:00,61
2013-06-06 07:00:00,96
2013-06-06 08:00:00,309
2013-06-06 09:00:00,1112
2013-06-06 10:00:00,1624
2013-06-06 11:00:00,1505
2013-06-06 12:00:00,1207
2013-06-06 13:00:00,1118
2013-06-06 14:00:00,1161
2013-06-06 15:00:00,1292
2013-06-06 16:00:00,1250
2013-06-06 17:00:00,1111
2013-06-06 18:00:00,1062
2013-06-06 19:00:00,1144
2013-06-06 20:00:00,1178
2013-06-06 21:00:00,1071
2013-06-06 22:00:00,916
2013-06-06 23:00:00,685
2013-06-07 00:00:00,429
2013-06-07 01:00:00,161
2013-06-07 02:00:00,90
2013-06-07 03:00:00,65
2013-06-07 04:00:00,42
2013-06-07 05:00:00,65
2013-06-07 06:00:00,53
2013-06-07 07:00:00,117
2013-06-07 08:00:00,315
2013-06-07 09:00:00,1000
2013-06-07 10:00:00,1613
2013-06-07 11:00:00,1430
2013-06-07 12:00:00,1015
2013-06-07 13:00:00,1266
2013-06-07 14:00:00,1202
2013-06-07 15:00:00,1292
2013-06-07 16:00:00,1220
2013-06-07 17:00:00,1049
2013-06-07 18:00:00,1074
2013-06-07 19:00:00,1129
2013-06-07 20:00:00,1213
2013-06-07 21:00:00,1110
2013-06-07 22:00:00,944
2013-06-07 23:00:00,726
2013-06-08 00:00:00,428
2013-06-08 01:00:00,202
2013-06-08 02:00:00,132
2013-06-08 03:00:00,75
2013-06-08 04:00:00,52
2013-06-08 05:00:00,59
2013-06-08 06:00:00,63
2013-06-08 07:00:00,138
2013-06-08 08:00:00,149
2013-06-08 09:00:00,265
2013-06-08 10:00:00,410
2013-06-08 11:00:00,462
2013-06-08 12:00:00,564
2013-06-08 13:00:00,652
2013-06-08 14:00:00,772
2013-06-08 15:00:00,664
2013-06-08 16:00:00,540
2013-06-08 17:00:00,261
2013-06-08 18:00:00,296
2013-06-08 19:00:00,371
2013-06-08 20:00:00,448
2013-06-08 21:00:00,475
2013-06-08 22:00:00,497
2013-06-08 23:00:00,468
2013-06-09 00:00:00,315
2013-06-09 01:00:00,200
2013-06-09 02:00:00,162
2013-06-09 03:00:00,95
2013-06-09 04:00:00,75
2013-06-09 05:00:00,54
2013-06-09 06:00:00,51
2013-06-09 07:00:00,49
2013-06-09 08:00:00,79
2013-06-09 09:00:00,80
2013-06-09 10:00:00,148
2013-06-09 11:00:00,200
2013-06-09 12:00:00,314
2013-06-09 13:00:00,409
2013-06-09 14:00:00,461
2013-06-09 15:00:00,357
2013-06-09 16:00:00,314
2013-06-09 17:00:00,233
2013-06-09 18:00:00,320
2013-06-09 19:00:00,370
2013-06-09 20:00:00,457
2013-06-09 21:00:00,567
2013-06-09 22:00:00,595
2013-06-09 23:00:00,389
2013-06-10 00:00:00,284
2013-06-10 01:00:00,145
2013-06-10 02:00:00,87
2013-06-10 03:00:00,33
2013-06-10 04:00:00,28
2013-06-10 05:00:00,33
2013-06-10 06:00:00,35
2013-06-10 07:00:00,103
2013-06-10 08:00:00,364
2013-06-10 09:00:00,1050
2013-06-10 10:00:00,1553
2013-06-10 11:00:00,1560
2013-06-10 12:00:00,1095
2013-06-10 13:00:00,1196
2013-06-10 14:00:00,1072
2013-06-10 15:00:00,1350
2013-06-10 16:00:00,1097
2013-06-10 17:00:00,877
2013-06-10 18:00:00,1006
2013-06-10 19:00:00,1002
2013-06-10 20:00:00,1073
2013-06-10 21:00:00,1049
2013-06-10 22:00:00,771
2013-06-10 23:00:00,502
2013-06-11 00:00:00,330
2013-06-11 01:00:00,158
2013-06-11 02:00:00,73
2013-06-11 03:00:00,41
2013-06-11 04:00:00,40
2013-06-11 05:00:00,63
2013-06-11 06:00:00,51
2013-06-11 07:00:00,137
2013-06-11 08:00:00,330
2013-06-11 09:00:00,1045
2013-06-11 10:00:00,1615
2013-06-11 11:00:00,1442
2013-06-11 12:00:00,1122
2013-06-11 13:00:00,1227
2013-06-11 14:00:00,1073
2013-06-11 15:00:00,1293
2013-06-11 16:00:00,1111
2013-06-11 17:00:00,890
2013-06-11 18:00:00,950
2013-06-11 19:00:00,984
2013-06-11 20:00:00,1098
2013-06-11 21:00:00,1023
2013-06-11 22:00:00,948
2013-06-11 23:00:00,606
2013-06-12 00:00:00,368
2013-06-12 01:00:00,119
2013-06-12 02:00:00,78
2013-06-12 03:00:00,49
2013-06-12 04:00:00,36
2013-06-12 05:00:00,55
2013-06-12 06:00:00,40
2013-06-12 07:00:00,112
2013-06-12 08:00:00,332
2013-06-12 09:00:00,955
2013-06-12 10:00:00,1644
2013-06-12 11:00:00,1385
2013-06-12 12:00:00,1095
2013-06-12 13:00:00,1009
2013-06-12 14:00:00,1053
2013-06-12 15:00:00,1231
2013-06-12 16:00:00,1112
2013-06-12 17:00:00,878
2013-06-12 18:00:00,948
2013-06-12 19:00:00,968
2013-06-12 20:00:00,966
2013-06-12 21:00:00,1091
2013-06-12 22:00:00,852
2013-06-12 23:00:00,526
2013-06-13 00:00:00,320
2013-06-13 01:00:00,185
2013-06-13 02:00:00,87
2013-06-13 03:00:00,47
2013-06-13 04:00:00,51
2013-06-13 05:00:00,56
2013-06-13 06:00:00,52
2013-06-13 07:00:00,108
2013-06-13 08:00:00,341
2013-06-13 09:00:00,1038
2013-06-13 10:00:00,1590
2013-06-13 11:00:00,1458
2013-06-13 12:00:00,1194
2013-06-13 13:00:00,1147
2013-06-13 14:00:00,1024
2013-06-13 15:00:00,1071
2013-06-13 16:00:00,1041
2013-06-13 17:00:00,865
2013-06-13 18:00:00,911
2013-06-13 19:00:00,894
2013-06-13 20:00:00,1062
2013-06-13 21:00:00,1032
2013-06-13 22:00:00,787
2013-06-13 23:00:00,646
2013-06-14 00:00:00,348
2013-06-14 01:00:00,174
2013-06-14 02:00:00,115
2013-06-14 03:00:00,51
2013-06-14 04:00:00,67
2013-06-14 05:00:00,55
2013-06-14 06:00:00,66
2013-06-14 07:00:00,106
2013-06-14 08:00:00,332
2013-06-14 09:00:00,949
2013-06-14 10:00:00,1561
2013-06-14 11:00:00,1367
2013-06-14 12:00:00,1206
2013-06-14 13:00:00,1144
2013-06-14 14:00:00,1182
2013-06-14 15:00:00,1375
2013-06-14 16:00:00,1459
2013-06-14 17:00:00,1299
2013-06-14 18:00:00,923
2013-06-14 19:00:00,965
2013-06-14 20:00:00,997
2013-06-14 21:00:00,1062
2013-06-14 22:00:00,809
2013-06-14 23:00:00,730
2013-06-15 00:00:00,500
2013-06-15 01:00:00,230
2013-06-15 02:00:00,127
2013-06-15 03:00:00,106
2013-06-15 04:00:00,94
2013-06-15 05:00:00,67
2013-06-15 06:00:00,81
2013-06-15 07:00:00,92
2013-06-15 08:00:00,136
2013-06-15 09:00:00,248
2013-06-15 10:00:00,442
2013-06-15 11:00:00,579
2013-06-15 12:00:00,614
2013-06-15 13:00:00,168
2013-06-15 14:00:00,114
2013-06-15 15:00:00,261
2013-06-15 16:00:00,183
2013-06-15 17:00:00,74
2013-06-15 18:00:00,108
2013-06-15 19:00:00,134
2013-06-15 20:00:00,168
2013-06-15 21:00:00,161
2013-06-15 22:00:00,180
2013-06-15 23:00:00,178
2013-06-16 00:00:00,128
2013-06-16 01:00:00,70
2013-06-16 02:00:00,64
2013-06-16 03:00:00,52
2013-06-16 04:00:00,32
2013-06-16 05:00:00,13
2013-06-16 06:00:00,18
2013-06-16 07:00:00,14
2013-06-16 08:00:00,33
2013-06-16 09:00:00,48
2013-06-16 10:00:00,59
2013-06-16 11:00:00,81
2013-06-16 12:00:00,105
2013-06-16 13:00:00,177
2013-06-16 14:00:00,339
2013-06-16 15:00:00,351
2013-06-16 16:00:00,323
2013-06-16 17:00:00,222
2013-06-16 18:00:00,185
2013-06-16 19:00:00,261
2013-06-16 20:00:00,372
2013-06-16 21:00:00,407
2013-06-16 22:00:00,512
2013-06-16 23:00:00,499
2013-06-17 00:00:00,398
2013-06-17 01:00:00,207
2013-06-17 02:00:00,98
2013-06-17 03:00:00,42
2013-06-17 04:00:00,25
2013-06-17 05:00:00,31
2013-06-17 06:00:00,28
2013-06-17 07:00:00,91
2013-06-17 08:00:00,274
2013-06-17 09:00:00,1034
2013-06-17 10:00:00,1535
2013-06-17 11:00:00,1420
2013-06-17 12:00:00,1133
2013-06-17 13:00:00,1160
2013-06-17 14:00:00,1196
2013-06-17 15:00:00,1213
2013-06-17 16:00:00,1062
2013-06-17 17:00:00,809
2013-06-17 18:00:00,956
2013-06-17 19:00:00,996
2013-06-17 20:00:00,1205
2013-06-17 21:00:00,1157
2013-06-17 22:00:00,845
2013-06-17 23:00:00,522
2013-06-18 00:00:00,283
2013-06-18 01:00:00,136
2013-06-18 02:00:00,71
