Fecha,idNodo,Total
229,2013-11-21,1351591695721,29776
230,2013-11-28,1351591695721,27392
231,2013-12-26,1351672370785,62664
232,2014-01-02,1351591800440,8000
233,2014-01-02,1388398007205,45
234,2014-01-02,1351672370785,14936
235,2014-01-09,1351672370785,51592
236,2014-01-16,1351672370785,65232
237,2014-01-23,1388396290670,1755
238,2014-01-23,1388397787434,9
239,2014-01-23,1388397600522,11934
240,2014-01-23,1351591868114,63
241,2014-01-23,1351672500995,90925
242,2014-01-23,1388396397305,414
243,2014-01-23,1388396029879,47322
244,2014-01-23,1388395655467,3483
245,2014-01-23,1388396196672,4500
246,2014-01-23,1351671926347,25390
247,2014-01-23,1388397694740,57366
248,2014-01-23,1388397963712,18576
249,2014-01-23,1351672370785,51293
250,2014-01-23,1351591800440,9
251,2014-01-23,1388398007205,1395
252,2014-01-23,1388397916219,5715
253,2014-01-23,1388396634884,315
254,2014-01-23,1351591695721,54
255,2014-01-30,1388398456156,36
256,2014-01-30,1388397221712,54
257,2014-01-30,1388398421885,504
258,2014-01-30,1351671926347,41096
259,2014-01-30,1388397963712,11043
260,2014-01-30,1388397145518,369
261,2014-01-30,1388397916219,72
262,2014-01-30,1388396290670,936
263,2014-01-30,1388397600522,80451
264,2014-01-30,1388396634884,1143
265,2014-01-30,1388396029879,9
266,2014-01-30,1388395655467,22437
267,2014-01-30,1388396196672,180
268,2014-01-30,1351672370785,30976
269,2014-02-06,1388397600522,162
270,2014-02-06,1388397916219,9126
271,2014-02-06,1388396134379,36
272,2014-02-06,1388398156925,5616
273,2014-02-06,1351591800440,459112
274,2014-02-06,1388396029879,14184
275,2014-02-06,1388397694740,7677
276,2014-02-06,1388396397305,27
277,2014-02-06,1388396456974,18
278,2014-02-06,1351591695721,63
279,2014-02-06,1351672370785,9524
280,2014-02-06,1388398456156,4419
281,2014-02-06,1388397221712,324
282,2014-02-06,1388397145518,171
283,2014-02-06,1351671926347,43405
284,2014-02-06,1388397787434,9
285,2014-02-06,1351591868114,36
286,2014-02-06,1351672500995,9676
287,2014-02-06,1388396568021,9
288,2014-02-06,1388396196672,837
289,2014-02-06,1388398421885,1656
290,2014-02-13,1388397600522,954
291,2014-02-13,1388398007205,1566
292,2014-02-13,1388396634884,279
293,2014-02-13,1351672370785,115640
294,2014-02-13,1388396029879,25533
295,2014-02-13,1388396290670,261
296,2014-02-13,1388396397305,1089
297,2014-02-13,1388397916219,26919
298,2014-02-13,1388397963712,54
299,2014-02-13,1351591868114,3195
300,2014-02-13,1388396196672,2241
301,2014-02-13,1388396134379,252
302,2014-02-13,1351672500995,120491
303,2014-02-13,1388397694740,23742
304,2014-02-13,1388395655467,288
305,2014-02-13,1351591800440,728824
306,2014-02-13,1388398219644,126
307,2014-02-13,1351671926347,44446
308,2014-02-20,1388395655467,171
309,2014-02-20,1388396196672,45
310,2014-02-20,1388397787434,3330
311,2014-02-20,1388397694740,36
312,2014-02-20,1351591868114,774
313,2014-02-20,1388396134379,1260
314,2014-02-20,1351672500995,83953
315,2014-02-20,1351671926347,46312
316,2014-02-20,1388396029879,27
317,2014-02-20,1351591800440,737424
318,2014-02-20,1351672370785,118168
319,2014-02-20,1388397600522,2430
320,2014-02-27,1388397787434,5487
321,2014-02-27,1388396029879,3823
322,2014-02-27,1388398091067,8624
323,2014-02-27,1388396568021,272
324,2014-02-27,1388398219644,6780
325,2014-02-27,1388398421885,2205
326,2014-02-27,1351672500995,217584
327,2014-02-27,1351672370785,189555
328,2014-02-27,1388397694740,17469
329,2014-02-27,1388398156925,10485
330,2014-02-27,1388397145518,160
331,2014-02-27,1351591800440,1087521
332,2014-02-27,1388396397305,4076
333,2014-02-27,1388398577264,17880
334,2014-02-27,1388395655467,3489
335,2014-02-27,1388397916219,9592
336,2014-02-27,1388396290670,1040
337,2014-02-27,1388397331212,3567
338,2014-02-27,1388397445798,2031
339,2014-02-27,1388396196672,6619
340,2014-02-27,1388398517822,12930
341,2014-02-27,1388397600522,130948
342,2014-02-27,1388397963712,13802
343,2014-02-27,1388398007205,66940
344,2014-02-27,1388396456974,400
345,2014-02-27,1388396134379,947
346,2014-02-27,1388396634884,672
347,2014-02-27,1351671926347,79885
348,2014-03-06,1388397963712,114786
349,2014-03-06,1388395655467,25401
350,2014-03-06,1388396290670,4881
351,2014-03-06,1388397331212,29456
352,2014-03-06,1388396634884,6672
353,2014-03-06,1351591800440,1123582
354,2014-03-06,1388397916219,59669
355,2014-03-06,1388396029879,28454
356,2014-03-06,1388398007205,98284
357,2014-03-06,1388397445798,19766
358,2014-03-06,1388396196672,14937
359,2014-03-06,1388398421885,29792
360,2014-03-06,1388398091067,7800
361,2014-03-06,1388397600522,177309
362,2014-03-06,1388398156925,95279
363,2014-03-06,1388397145518,2019
364,2014-03-06,1388396456974,585
365,2014-03-06,1388398517822,93221
366,2014-03-06,1351671926347,79643
367,2014-03-06,1388397694740,123999
368,2014-03-06,1388398456156,390
369,2014-03-06,1388396397305,10226
370,2014-03-06,1388398219644,61815
371,2014-03-06,1388396568021,2667
372,2014-03-06,1351591695721,18639
373,2014-03-06,1388398577264,202963
374,2014-03-06,1351672500995,249446
375,2014-03-13,1388398456156,2514
376,2014-03-13,1388395655467,19501
377,2014-03-13,1351591868114,534698
378,2014-03-13,1388398421885,20923
379,2014-03-13,1388398219644,44572
380,2014-03-13,1388397331212,22737
381,2014-03-13,1388396568021,2258
382,2014-03-13,1351672370785,22419
383,2014-03-13,1388396029879,15631
384,2014-03-13,1388397694740,67773
385,2014-03-13,1351591695721,76208
386,2014-03-13,1388396397305,6234
387,2014-03-13,1388397145518,1974
388,2014-03-13,1388396134379,1482
389,2014-03-13,1351671926347,333777
390,2014-03-13,1388396290670,2971
391,2014-03-13,1388397963712,87478
392,2014-03-13,1388397916219,45113
393,2014-03-13,1351591800440,178650
394,2014-03-13,1388398517822,69079
395,2014-03-13,1351672500995,31251
396,2014-03-13,1388398156925,73801
397,2014-03-13,1388396196672,10034
398,2014-03-13,1388398091067,440
399,2014-03-13,1388397600522,114700
400,2014-03-13,1388398007205,65048
401,2014-03-13,1388398577264,163989
402,2014-03-13,1388397445798,9882
403,2014-03-13,1388396634884,6156
404,2014-03-13,1388396456974,3853
405,2014-03-20,1388397694740,60770
406,2014-03-20,1351591695721,47471
